date,signal_close_buy,signal_buy,diff_buy,signal_close_sell,signal_sell,diff_sell,close,pct_change
01/08/2017,1,1,0,0,0,0,3770.38,
02/08/2017,0,0,0,0,0,0,3760.85,-0.25
03/08/2017,1,1,0,0,0,0,3727.83,-0.88
04/08/2017,1,1,0,-0.79,-0.99,1,3707.58,-0.54
07/08/2017,1,0.91,1,-1,-1,0,3726.79,0.52
08/08/2017,0,0,0,-1,-1,0,3732.21,0.15
09/08/2017,0,0,0,-1,-1,0,3731.04,-0.03
10/08/2017,0,0,0,-1,-1,0,3715.92,-0.41
11/08/2017,0,0,0,-1,-1,0,3647.35,-1.85
14/08/2017,1,1,0,0,0,0,3694.68,1.3
15/08/2017,0,0,0,-1,-1,0,3706.06,0.31
16/08/2017,0,0,0,-1,-1,0,3701.42,-0.13
17/08/2017,1,1,0,0,0,0,3721.28,0.54
18/08/2017,0,0,0,-1,-1,0,3724.67,0.09
21/08/2017,1,1,0,0,0,0,3740.99,0.44
22/08/2017,0.41,0,1,-1,-1,0,3752.3,0.3
23/08/2017,0,0,0,-1,-1,0,3756.09,0.1
24/08/2017,0,0,0,-1,-1,0,3734.65,-0.57
25/08/2017,1,1,0,0,0,0,3795.75,1.64
28/08/2017,1,1,0,0,0,0,3842.71,1.24
29/08/2017,0,0,0,-1,-1,0,3834.54,-0.21
30/08/2017,0,0,0,-0.66,-0.66,1,3834.3,-0.01
31/08/2017,1,1,0,0,0,0,3822.09,-0.32
01/09/2017,0,0,0,0,0,0,3830.54,0.22
04/09/2017,0,0,0,0,0,0,3845.62,0.39
05/09/2017,0,0,0,0,0,0,3857.05,0.3
06/09/2017,0,0,0,-0.2,-0.17,1,3849.45,-0.2
07/09/2017,1,1,0,-0.12,-0.17,1,3829.87,-0.51
08/09/2017,0.04,0,1,-1,-1,0,3825.99,-0.1
11/09/2017,0.09,0,1,-1,-1,0,3825.65,-0.01
12/09/2017,1,1,0,0,0,0,3837.93,0.32
13/09/2017,0,0,0,-0.46,-0.18,1,3842.61,0.12
14/09/2017,0,0,0,-1,-1,0,3829.96,-0.33
15/09/2017,1,1,0,-0.07,0,1,3831.3,0.03
