date,signal_close_buy_screened,signal_buy_screened,diff_buy_screened,close,pct_change
01/08/2017,0,0,0,6286.54,
02/08/2017,0,0,0,6251.86,-0.55
03/08/2017,0,0,0,6261.97,0.16
04/08/2017,1,1,0,6225.12,-0.59
07/08/2017,1,1,0,6303.42,1.26
08/08/2017,0,0,0,6303.72,0
09/08/2017,0,0,0,6340.02,0.58
10/08/2017,0,0,0,6289.22,-0.8
11/08/2017,1,1,0,6161.19,-2.04
14/08/2017,1,1,0,6292.64,2.13
15/08/2017,0,0,0,6314.76,0.35
16/08/2017,0,0,0,6318.8,0.06
17/08/2017,0,0,0,6366.03,0.75
18/08/2017,0,0,0,6347.76,-0.29
21/08/2017,0,0,0,6403.78,0.88
22/08/2017,0,0,0,6375.98,-0.43
23/08/2017,0,0,0,6322.78,-0.83
24/08/2017,0,0,0,6278.59,-0.7
25/08/2017,0,0,0,6346.53,1.08
28/08/2017,0,0,0,6424.58,1.23
29/08/2017,0,0,0,6408.16,-0.26
30/08/2017,0,0,0,6453.46,0.71
31/08/2017,0,0,0,6470.43,0.26
01/09/2017,1,1,0,6526.5,0.87
04/09/2017,1,0.77,1,6564.68,0.58
05/09/2017,0,0,0,6571.86,0.11
06/09/2017,0,0,0,6607.12,0.54
07/09/2017,0.55,0.62,1,6558.6,-0.73
08/09/2017,0.32,0.58,1,6574.18,0.24
11/09/2017,1,1,0,6649.63,1.15
12/09/2017,0,0,0,6644.01,-0.08
13/09/2017,1,1,0,6684.38,0.61
14/09/2017,0,0,0,6672.19,-0.18
15/09/2017,1,1,0,6622.04,-0.75
