系统时间,数据时间,中证500价格,上证50价格,沪深300价格
14:33:55,14:33:48,6555.8805,2685.7189,3820.3829
14:34:04,14:33:59,6555.865,2685.6041,3820.35
14:34:14,14:34:09,6555.9318,2686.0686,3820.9089
14:34:24,14:34:18,6555.4714,2685.2096,3820.3845
14:34:34,14:34:29,6555.7756,2685.2406,3820.2576
14:34:44,14:34:35,6555.6262,2686.0845,3820.9052
14:34:54,14:34:50,6555.7459,2685.4442,3820.5261
14:35:04,14:35:00,6556.4305,2685.7807,3820.9618
14:35:14,14:35:05,6556.3954,2685.892,3820.9517
14:35:24,14:35:20,6557.2684,2686.1392,3821.077
14:35:34,14:35:30,6556.7958,2685.9414,3821.0682
14:35:44,14:35:35,6557.0218,2686.6213,3821.5854
14:35:54,14:35:50,6557.2593,2686.6911,3821.9038
14:36:04,14:35:54,6557.7643,2686.6733,3821.7623
14:36:14,14:36:05,6557.6999,2686.3795,3821.73
14:36:24,14:36:20,6558.0026,2686.3893,3821.7913
14:36:34,14:36:30,6557.8538,2686.6814,3822.2226
14:36:44,14:36:39,6558.0276,2685.3313,3821.511
14:36:54,14:36:50,6558.6481,2686.6993,3822.2447
14:37:04,14:36:54,6558.6825,2686.6357,3822.1846
14:37:14,14:37:05,6558.6155,2686.4916,3822.3017
14:37:24,14:37:20,6558.6428,2686.5092,3822.2572
14:37:34,14:37:30,6559.5506,2686.0854,3822.0654
14:37:44,14:37:35,6559.995,2686.4016,3822.7381
14:37:54,14:37:50,6559.0037,2686.1208,3822.3821
14:38:04,14:38:00,6559.6173,2686.1143,3822.3984
14:38:14,14:38:06,6559.6268,2686.0102,3822.3568
14:38:24,14:38:21,6559.6202,2685.9753,3822.3693
14:38:34,14:38:30,6559.5852,2686.3114,3822.4634
14:38:44,14:38:36,6559.4717,2686.4052,3822.6532
14:38:54,14:38:51,6559.1849,2686.4702,3822.449
14:39:04,14:38:56,6559.2581,2685.7889,3821.9474
14:39:14,14:39:06,6558.9688,2686.091,3822.1833
14:39:24,14:39:21,6559.2814,2686.378,3822.3724
14:39:34,14:39:30,6558.8917,2686.44,3822.4349
14:39:44,14:39:36,6558.6403,2686.5575,3822.5858
14:39:54,14:39:45,6558.298,2686.1216,3822.4232
14:40:04,14:39:56,6558.523,2686.2269,3822.2353
14:40:14,14:40:06,6558.5339,2686.5821,3822.5309
14:40:24,14:40:21,6558.2008,2686.5394,3822.6184
14:40:34,14:40:30,6558.5121,2686.4556,3822.559
14:40:44,14:40:41,6558.0794,2686.8729,3822.8836
14:40:54,14:40:51,6558.3157,2686.19,3822.1869
14:41:04,14:40:56,6558.3183,2686.1255,3822.1634
14:41:14,14:41:12,6557.7219,2686.71,3822.8251
14:41:24,14:41:21,6557.8363,2686.2679,3822.3397
14:41:34,14:41:32,6557.7352,2686.1099,3822.2547
14:41:44,14:41:42,6557.8352,2686.0765,3822.089
14:41:54,14:41:51,6557.9809,2685.9594,3822.2302
14:42:04,14:41:57,6557.7559,2686.4078,3822.4858
14:42:14,14:42:12,6557.6113,2686.8139,3822.587
14:42:24,14:42:21,6557.2054,2686.4226,3822.2397
14:42:34,14:42:27,6557.0834,2687.024,3822.866
14:42:44,14:42:42,6557.9193,2687.2094,3823.1228
14:42:54,14:42:51,6557.8539,2687.3274,3823.2014
14:43:04,14:42:57,6558.364,2687.2056,3823.1947
14:43:14,14:43:12,6558.1655,2687.358,3823.1969
14:43:24,14:43:17,6558.3921,2687.5196,3823.3457
14:43:34,14:43:27,6558.2439,2686.7783,3823.0232
14:43:44,14:43:42,6558.348,2687.1611,3823.1724
14:43:54,14:43:47,6558.7382,2686.9911,3823.0058
14:44:04,14:43:57,6558.8434,2687.0458,3823.0571
14:44:14,14:44:12,6559.4365,2687.5513,3823.2762
14:44:24,14:44:18,6559.2006,2687.3026,3823.3782
14:44:34,14:44:27,6559.4795,2687.877,3823.9688
14:44:44,14:44:38,6559.6311,2688.2363,3824.0932
14:44:54,14:44:48,6559.3176,2687.7325,3823.8463
14:45:04,14:44:57,6559.3778,2688.381,3824.1738
14:45:14,14:45:08,6559.8039,2688.1292,3823.9096
14:45:24,14:45:18,6559.8438,2688.9312,3824.5454
14:45:34,14:45:27,6559.9052,2688.5627,3824.4154
14:45:44,14:45:38,6560.45,2688.6743,3824.4549
14:45:54,14:45:48,6560.5578,2688.1782,3824.1293
14:46:04,14:45:57,6560.8136,2688.7476,3824.7057
14:46:14,14:46:12,6560.8605,2688.8274,3824.6708
14:46:24,14:46:18,6560.7915,2688.8125,3824.8267
14:46:34,14:46:27,6561.4791,2689.2967,3825.1649
14:46:44,14:46:38,6562.0376,2688.9725,3825.0333
14:46:54,14:46:48,6561.5329,2688.8046,3824.7484
14:47:04,14:46:57,6562.152,2689.2669,3825.345
14:47:14,14:47:08,6562.0881,2688.6682,3824.9794
14:47:24,14:47:18,6562.4734,2688.5364,3825.018
14:47:34,14:47:27,6562.8939,2688.804,3825.4336
14:47:44,14:47:38,6563.0336,2689.0711,3825.6266
14:47:54,14:47:48,6563.7195,2689.121,3825.6368
14:48:04,14:47:59,6563.0859,2689.5349,3826.193
14:48:14,14:48:09,6564.0155,2689.509,3826.0677
14:48:24,14:48:18,6563.9107,2689.1245,3826.0192
14:48:34,14:48:29,6564.0389,2689.5243,3826.3493
14:48:44,14:48:39,6564.457,2688.7826,3826.0198
14:48:54,14:48:48,6564.1565,2688.7044,3826.0727
14:49:04,14:48:59,6564.5856,2688.1723,3825.8522
