date,signal_buy,signal_sell
2017-08-01,0.26,-0.0
2017-08-02,1.0,-0.0
2017-08-03,0.0,-0.45
2017-08-04,0.0,-1.0
2017-08-07,0.0,-1.0
2017-08-08,0.0,-1.0
2017-08-09,0.0,-0.0
2017-08-10,0.0,-1.0
2017-08-11,1.0,-0.0
2017-08-14,1.0,-0.0
2017-08-15,0.0,-1.0
2017-08-16,0.0,-1.0
2017-08-17,0.0,-0.0
2017-08-18,0.0,-1.0
2017-08-21,0.0,-1.0
2017-08-22,0.0,-1.0
2017-08-23,0.0,-1.0
2017-08-24,0.0,-1.0
2017-08-25,0.0,-0.0
2017-08-28,1.0,-0.0
2017-08-29,0.0,-0.75
2017-08-30,1.0,-0.0
2017-08-31,1.0,-0.0
2017-09-01,1.0,-0.0
2017-09-04,0.6,-0.0
2017-09-05,1.0,-0.0
2017-09-06,0.0,-0.14
2017-09-07,0.0,-0.65
2017-09-08,1.0,-0.0
2017-09-11,1.0,-0.0
2017-09-12,0.0,-0.0
2017-09-13,0.0,-0.11
2017-09-14,1.0,-0.37
2017-09-15,1.0,-0.0
