date,signal_close_buy,signal_close_sell,signal_buy,signal_sell,diff_buy,diff_sell,close,pct_change
2017-08-01,0.0,-1.0,0.0,-1.0,0,0,160.25,
2017-08-02,1.0,-0.0,1.0,-0.0,0,0,160.47,0.14
2017-08-03,0.0,-1.0,0.0,-1.0,0,0,160.36,-0.07
2017-08-04,0.0,-1.0,0.0,-1.0,0,0,160.29,-0.04
2017-08-07,0.6,-0.12,0.54,-0.07,1,1,160.34,0.03
2017-08-08,0.0,-1.0,0.0,-1.0,0,0,160.29,-0.03
2017-08-09,0.0,-1.0,0.0,-1.0,0,0,160.3,0.01
2017-08-10,0.0,-1.0,0.0,-1.0,0,0,160.26,-0.02
2017-08-11,0.0,-0.0,0.0,-0.0,0,0,160.33,0.04
2017-08-14,0.0,-0.58,0.0,-0.39,0,1,160.34,0.01
2017-08-15,1.0,-0.0,1.0,-0.0,0,0,160.54,0.12
2017-08-16,0.41,-1.0,0.25,-1.0,1,0,160.58,0.02
2017-08-17,0.0,-0.0,0.0,-0.0,0,0,160.57,-0.01
2017-08-18,0.0,-0.0,0.0,-0.0,0,0,160.58,0.01
2017-08-21,0.0,-1.0,0.0,-1.0,0,0,160.56,-0.01
2017-08-22,1.0,-0.0,0.0,-0.72,1,1,160.57,0.01
2017-08-23,0.0,-0.1,0.0,-0.5,0,1,160.56,-0.01
2017-08-24,0.0,-1.0,0.0,-1.0,0,0,160.54,-0.01
2017-08-25,0.0,-1.0,0.0,-1.0,0,0,160.52,-0.01
2017-08-28,1.0,-0.0,1.0,-0.0,0,0,160.57,0.03
2017-08-29,0.0,-0.0,0.0,-0.0,0,0,160.57,0.0
2017-08-30,1.0,-0.0,1.0,-0.0,0,0,160.69,0.07
2017-08-31,1.0,-0.0,1.0,-0.0,0,0,160.71,0.01
2017-09-01,1.0,-0.0,1.0,-0.0,0,0,160.76,0.03
2017-09-04,1.0,-0.0,1.0,-0.0,0,0,160.77,0.01
2017-09-05,0.13,-0.0,0.0,-0.0,1,0,160.72,-0.03
2017-09-06,0.0,-0.7,0.0,-0.74,0,1,160.53,-0.12
2017-09-07,1.0,-0.0,1.0,-0.0,0,0,160.59,0.04
2017-09-08,1.0,-0.0,1.0,-0.0,0,0,160.57,-0.01
2017-09-11,0.0,-0.0,0.0,-0.0,0,0,160.6,0.02
2017-09-12,0.0,-1.0,0.0,-1.0,0,0,160.58,-0.01
2017-09-13,0.0,-1.0,0.0,-1.0,0,0,160.58,0.0
2017-09-14,1.0,-0.0,1.0,-0.0,0,0,160.59,0.01
2017-09-15,0.0,-0.0,0.0,-0.0,0,0,160.6,0.01
